Q9_1,Q9_2,Q9_3,HeadAcc,RawAX,RawAY,RawAZ,RawGX,RawGY,RawGZ,RawMX,RawMY,RawMZ,lon,lat,utc_datetime,ME
-0.77025,-0.56411,0.25664,297,-1938,-3924,-6812,-20,39,-20,-275,426,66,,,2024-06-27T20:48:01.670Z,M
-0.77018,-0.56437,0.25624,297,-1936,-3846,-6920,-10,40,-19,-267,421,81,,,2024-06-27T20:48:01.690Z,M
-0.77024,-0.56447,0.25581,297,-1918,-3792,-6978,-11,45,0,-276,427,83,,,2024-06-27T20:48:01.710Z,M
-0.77034,-0.56450,0.25553,297,-1872,-3806,-7022,-16,20,10,-274,427,70,,,2024-06-27T20:48:01.730Z,M
-0.77034,-0.56456,0.25551,297,-1866,-3742,-6890,-3,-1,17,-271,414,75,,,2024-06-27T20:48:01.750Z,M
-0.77022,-0.56450,0.25604,297,-1838,-3770,-6886,37,-20,15,-284,422,85,,,2024-06-27T20:48:01.770Z,M
-0.77006,-0.56457,0.25635,297,-1864,-3884,-6864,34,-23,-1,-285,423,74,,,2024-06-27T20:48:01.790Z,M
-0.7698,-0.56477,0.25665,297,-1968,-3910,-6838,30,-27,-19,-281,427,77,,,2024-06-27T20:48:01.810Z,M
-0.76956,-0.56501,0.25681,297,-2054,-3914,-6886,21,-12,-22,-278,423,79,,,2024-06-27T20:48:01.830Z,M
-0.7695,-0.56507,0.25688,297,-2128,-3910,-6912,14,-1,-3,-272,429,71,,,2024-06-27T20:48:01.850Z,M
-0.76948,-0.56506,0.25694,297,-2120,-3820,-6944,20,10,16,-272,415,81,,,2024-06-27T20:48:01.870Z,M
-0.76955,-0.56491,0.25705,297,-2130,-3716,-7018,30,8,27,-275,421,71,,,2024-06-27T20:48:01.890Z,M
-0.76959,-0.56480,0.25713,297,-1954,-3782,-7042,20,1,-1,-281,427,72,,,2024-06-27T20:48:01.910Z,M
-0.76932,-0.56497,0.25761,297,-1868,-3788,-6930,35,-54,-15,-276,430,72,,,2024-06-27T20:48:01.930Z,M
-0.7689,-0.56529,0.25822,297,-1836,-3922,-6862,36,-72,-33,-279,427,70,,,2024-06-27T20:48:01.950Z,M
-0.76843,-0.56571,0.25868,297,-1842,-3946,-6850,38,-50,-46,-280,426,79,,,2024-06-27T20:48:01.970Z,M
-0.76798,-0.56610,0.259,297,-1886,-4044,-6952,46,-26,-48,-276,422,72,,,2024-06-27T20:48:01.990Z,M
