individual,filename,start_time,duration_sec,end_time
Collar_3,00007.MTS,2024-07-06T07:25:51.360Z,16.64,2024-07-06T07:26:08Z
Collar_3,00008.mp4,2025-08-03T00:43:12.080Z,49.92,2025-08-03T00:44:02Z
Collar_3,00008.MTS,2024-07-06T07:27:50.080Z,49.92,2024-07-06T07:28:40Z
Collar_3,00009.mp4,2025-08-03T00:41:42.400Z,145.6,2025-08-03T00:44:08Z
Collar_3,00009.MTS,2024-07-06T07:28:46.400Z,145.6,2024-07-06T07:31:12Z
Collar_3,00010.mp4,2025-08-03T00:40:06.320Z,251.68,2025-08-03T00:44:18Z
Collar_3,00010.MTS,2024-07-06T07:32:30.320Z,251.68,2024-07-06T07:36:42Z
Collar_3,DSC_0306.MOV,2024-07-06T06:58:41.280Z,12.72,2024-07-06T06:58:54Z
Collar_3,DSC_0309.MOV,2024-07-06T07:28:48.480Z,71.52,2024-07-06T07:30:00Z
Collar_3,DSC_0310.MOV,2024-07-06T07:31:48.160Z,3.84,2024-07-06T07:31:52Z
Collar_3,DSC_0312.MOV,2024-07-06T07:33:22.800Z,31.2,2024-07-06T07:33:54Z
Collar_3,DSC_0357.MOV,2024-07-07T07:25:39.520Z,138.48,2024-07-07T07:27:58Z
Collar_3,DSC_0358.MOV,2024-07-07T07:29:23.640Z,60.36,2024-07-07T07:30:24Z
Collar_3,DSC_0359.MOV,2024-07-07T07:31:02.480Z,47.52,2024-07-07T07:31:50Z
Collar_3,DSC_0360.MOV,2024-07-07T07:28:10.280Z,333.72,2024-07-07T07:33:44Z
Collar_3,DSC_0361.MOV,2024-07-07T07:39:04.720Z,161.28,2024-07-07T07:41:46Z
Collar_3,DSC_0362.MOV,2024-07-07T07:49:58.800Z,37.2,2024-07-07T07:50:36Z
Collar_3,DSC_0476.MOV,2024-07-12T08:19:57.160Z,78.84,2024-07-12T08:21:16Z
Collar_3,DSC_0477.MOV,2024-07-12T08:24:20.920Z,1.08,2024-07-12T08:24:22Z
Collar_3,DSC_0490.MOV,2024-07-12T09:32:35.720Z,2.28,2024-07-12T09:32:38Z
Collar_5,DSC_0457.MOV,2024-07-11T08:42:50.440Z,229.56,2024-07-11T08:46:40Z
Collar_6,00032_collar6.mp4,2025-08-03T00:39:47.056Z,322.944,2025-08-03T00:45:10Z
Collar_6,00032_collar6.MTS,2024-07-09T03:02:47.056Z,322.944,2024-07-09T03:08:10Z
Collar_6,DJI_20240710062607_0081_D.MP4,2024-07-10T06:26:08.076300Z,243.9437,2024-07-10T06:30:12.020Z
Collar_6,DJI_20240710063013_0082_D.MP4,2024-07-10T06:30:13.635732Z,241.174267,2024-07-10T06:34:14.809999Z
Collar_6,DJI_20240710063415_0083_D.MP4,2024-07-10T06:34:16.192533Z,254.387467,2024-07-10T06:38:30.580Z
Collar_6,DJI_20240710063831_0084_D.MP4,2024-07-10T06:38:31.928199Z,242.0418,2024-07-10T06:42:33.969999Z
Collar_6,DJI_20240710064235_0085_D.MP4,2024-07-10T06:42:35.815433Z,211.444567,2024-07-10T06:46:07.260Z
Collar_6,00040.mp4,2025-08-03T00:40:53.056Z,270.944,2025-08-03T00:45:24Z
Collar_6,00040.MTS,2024-07-10T04:16:23.056Z,270.944,2024-07-10T04:20:54Z
Collar_7,Collar7_04.07.24.MOV,2024-07-04T08:00:50.800Z,13.2,2024-07-04T08:01:04Z
Collar_7,C0005.MP4,2024-07-04T07:59:27.760Z,18.24,2024-07-04T07:59:46Z
Collar_7,C0006.MP4,2024-07-04T08:00:02.560Z,73.44,2024-07-04T08:01:16Z
Collar_7,C0007.MP4,2024-07-04T08:01:19.760Z,6.24,2024-07-04T08:01:26Z
Collar_7,DJI_20240706120250_0063_D_collar7.MP4,2024-07-06T12:02:51.372800Z,277.4772,2024-07-06T12:07:28.850Z
Collar_7,DJI_20240706122824_0067_D_collar7.MP4,2024-07-06T12:28:24.593499Z,216.7165,2024-07-06T12:32:01.309999Z
Collar_8,DJI_20240702082054_0038_D.MP4,2024-07-02T08:20:55.840633Z,126.159367,2024-07-02T08:23:02Z
Collar_8,DJI_20240702082301_0039_D.MP4,2024-07-02T08:23:03.079200Z,120.9208,2024-07-02T08:25:04Z
Collar_8,DJI_20240702082503_0040_D.MP4,2024-07-02T08:25:05.535067Z,198.464933,2024-07-02T08:28:24Z
Collar_8,DJI_20240702082823_0041_D.MP4,2024-07-02T08:28:24.445233Z,121.554767,2024-07-02T08:30:26Z
Collar_8,DJI_20240702083025_0042_D.MP4,2024-07-02T08:30:28.011467Z,121.988533,2024-07-02T08:32:30Z
Collar_8,DJI_20240702083230_0043_D.MP4,2024-07-02T08:32:32.267033Z,99.732967,2024-07-02T08:34:12Z
Collar_8,DJI_20240702083416_0044_D.MP4,2024-07-02T08:34:17.151833Z,14.848167,2024-07-02T08:34:32Z
Collar_8,DSC_0225.MOV,2024-07-02T06:18:48.720Z,95.28,2024-07-02T06:20:24Z
Collar_8,DSC_0226.MOV,2024-07-02T06:38:00.600Z,41.4,2024-07-02T06:38:42Z
Collar_8,DJI_20240706060022_0056_D_collar8.MP4,2024-07-06T06:00:23.219200Z,241.0408,2024-07-06T06:04:24.260Z
Collar_8,DJI_20240706060425_0057_D_collar8.MP4,2024-07-06T06:04:26.314100Z,266.1659,2024-07-06T06:08:52.480Z
Collar_8,DJI_20240706060853_0058_D_collar8.MP4,2024-07-06T06:08:53.945833Z,241.074167,2024-07-06T06:12:55.020Z
Collar_8,DJI_20240706061255_0059_D_collar8.MP4,2024-07-06T06:12:56.407667Z,265.932333,2024-07-06T06:17:22.340Z
Collar_8,DJI_20240706061723_0060_D_collar8.MP4,2024-07-06T06:17:24.139700Z,140.4403,2024-07-06T06:19:44.580Z
Collar_8,00053.mp4,2025-08-03T00:41:31.072Z,244.928,2025-08-03T00:45:36Z
Collar_8,00053.MTS,2024-07-10T11:28:57.072Z,244.928,2024-07-10T11:33:02Z
Collar_8,DJI_20240712055631_0086_D.MP4,2024-07-12T05:56:31.952567Z,180.947433,2024-07-12T05:59:32.900Z
Collar_8,DJI_20240712055933_0087_D.MP4,2024-07-12T05:59:34.039299Z,240.9407,2024-07-12T06:03:34.980Z
Collar_8,DJI_20240712060335_0088_D.MP4,2024-07-12T06:03:36.236100Z,23.9239,2024-07-12T06:04:00.160Z
Collar_8,DJI_20240712060408_0089_D.MP4,2024-07-12T06:04:08.909301Z,10.7107,2024-07-12T06:04:19.620001Z
Collar_9,DJI_20240630145854_0020_D.MP4,2024-06-30T14:58:54.398767Z,184.751233,2024-06-30T15:01:59.150Z
Collar_9,DJI_20240630150228_0021_D.MP4,2024-06-30T15:02:28.738900Z,151.2511,2024-06-30T15:04:59.990Z
Collar_9,DJI_20240630150501_0022_D.MP4,2024-06-30T15:05:01.495834Z,120.954167,2024-06-30T15:07:02.450001Z
Collar_9,DJI_20240630150702_0023_D.MP4,2024-06-30T15:07:03.198066Z,165.431933,2024-06-30T15:09:48.629999Z
Collar_9,DJI_20240630150949_0024_D.MP4,2024-06-30T15:09:49.375533Z,141.274467,2024-06-30T15:12:10.650Z
Collar_9,DJI_20240630151211_0025_D.MP4,2024-06-30T15:12:11.323799Z,36.2362,2024-06-30T15:12:47.559999Z
Collar_9,DJI_20240630145854_0020_D.MP4,2024-06-30T14:58:55.248767Z,184.751233,2024-06-30T15:02:00Z
Collar_9,DJI_20240630150228_0021_D.MP4,2024-06-30T15:02:28.748900Z,151.2511,2024-06-30T15:05:00Z
Collar_9,DJI_20240630150501_0022_D.MP4,2024-06-30T15:05:03.045833Z,120.954167,2024-06-30T15:07:04Z
Collar_9,DJI_20240630150702_0023_D.MP4,2024-06-30T15:07:04.568067Z,165.431933,2024-06-30T15:09:50Z
Collar_9,DJI_20240630150949_0024_D.MP4,2024-06-30T15:09:50.725533Z,141.274467,2024-06-30T15:12:12Z
Collar_9,DJI_20240630151211_0025_D.MP4,2024-06-30T15:12:11.763800Z,36.2362,2024-06-30T15:12:48Z
