internal_timestamp,gps_timestamp,lon,lat
01/01/2000 05:09:38.98,29/06/2024 01:30:20,31.180079,-25.572579
01/01/2000 05:14:47.35,29/06/2024 01:35:08,31.180009,-25.57253
01/01/2000 05:19:35.94,29/06/2024 01:40:09,31.1802,-25.572633
01/01/2000 05:29:34.50,29/06/2024 01:45:07,31.180119,-25.572628
01/01/2000 05:29:34.72,29/06/2024 01:50:22,31.180092,-25.572572
01/01/2000 05:34:48.99,29/06/2024 01:55:39,31.180028,-25.572548
01/01/2000 05:40:06.03,29/06/2024 02:00:08,31.180091,-25.572592
01/01/2000 05:44:35.02,29/06/2024 02:05:11,31.180113,-25.572602
01/01/2000 05:49:38.05,29/06/2024 02:10:10,31.17993,-25.57262
01/01/2000 05:54:37.42,29/06/2024 02:15:08,31.180074,-25.572633
01/01/2000 05:59:35.01,29/06/2024 02:20:05,31.179883,-25.572627
01/01/2000 06:04:32.67,29/06/2024 02:25:09,31.180072,-25.572593
01/01/2000 06:09:36.02,29/06/2024 02:30:11,31.179862,-25.572769
01/01/2000 06:14:38.10,29/06/2024 02:35:05,31.180027,-25.572816
01/01/2000 06:19:32.87,29/06/2024 02:40:06,31.180069,-25.572647
01/01/2000 06:24:33.62,29/06/2024 02:45:21,31.179964,-25.572626
01/01/2000 06:29:48.61,29/06/2024 02:50:10,31.180046,-25.572684
01/01/2000 06:34:37.13,29/06/2024 02:55:11,31.18016,-25.572698
01/01/2000 06:39:38.06,29/06/2024 03:00:14,31.180083,-25.572662
01/01/2000 06:44:41.14,29/06/2024 03:05:20,31.180161,-25.572634
01/01/2000 06:49:47.06,29/06/2024 03:10:18,31.180011,-25.572519
01/01/2000 06:54:45.05,29/06/2024 03:15:16,31.18006,-25.572602
01/01/2000 06:59:43.07,29/06/2024 03:20:31,31.180183,-25.572678
01/01/2000 07:04:58.11,29/06/2024 03:25:31,31.17993,-25.572516
01/01/2000 07:09:58.08,29/06/2024 03:30:15,31.180158,-25.572651
01/01/2000 07:14:42.11,29/06/2024 03:35:13,31.18017,-25.572544
01/01/2000 07:19:40.10,29/06/2024 03:40:12,31.180135,-25.572601
01/01/2000 07:24:39.13,29/06/2024 03:45:16,31.180123,-25.572604
01/01/2000 07:29:43.12,29/06/2024 03:50:13,31.179839,-25.572504
